#Source: https://www.esrl.noaa.gov/psd/gcos_wgsp/Timeseries/Data/soi.long.data
#Detail: SOI
#Detail: Monthly time step
Year,Month,Value
1961,8,-0.160
1961,9,0.110
1961,10,-0.730
1961,11,0.680
1961,12,1.310
1962,1,1.720
1962,2,-0.410
1962,3,-0.320
1962,4,0.300
1962,5,1.100
1962,6,0.370
1962,7,-0.040
1962,8,0.260
1962,9,0.530
1962,10,0.950
1962,11,0.270
1962,12,-0.100
1963,1,0.800
1963,2,0.260
1963,3,0.660
1963,4,0.510
1963,5,0.140
1963,6,-1.300
1963,7,-0.130
1963,8,-0.430
1963,9,-0.600
1963,10,-1.460
1963,11,-0.930
1963,12,-1.350
1964,1,-0.530
1964,2,-0.130
1964,3,0.710
1964,4,1.780
1964,5,-0.020
1964,6,0.720
1964,7,0.620
1964,8,1.320
1964,9,1.290
1964,10,1.260
1964,11,-0.060
1964,12,-0.490
1965,1,-0.520
1965,2,0.010
1965,3,0.240
1965,4,-1.340
1965,5,-0.030
1965,6,-1.630
1965,7,-2.320
1965,8,-1.370
1965,9,-1.410
1965,10,-1.220
1965,11,-1.860
1965,12,0.020
1966,1,-1.360
1966,2,-0.540
1966,3,-1.750
1966,4,-0.900
1966,5,-0.710
1966,6,0.140
1966,7,-0.150
1966,8,0.190
1966,9,-0.240
1966,10,-0.330
1966,11,-0.200
1966,12,-0.610
1967,1,1.520
1967,2,1.200
1967,3,0.650
1967,4,-0.120
1967,5,-0.410
1967,6,0.670
1967,7,0.180
1967,8,0.440
1967,9,0.440
1967,10,-0.170
1967,11,-0.570
1967,12,-0.780
1968,1,0.470
1968,2,0.770
1968,3,-0.560
1968,4,-0.310
1968,5,1.210
1968,6,1.270
1968,7,0.770
1968,8,-0.200
1968,9,-0.360
1968,10,-0.350
1968,11,-0.440
1968,12,0.130
1969,1,-1.360
1969,2,-0.850
1969,3,-0.030
1969,4,-0.900
1969,5,-0.780
1969,6,-0.240
1969,7,-0.730
1969,8,-0.710
1969,9,-1.100
1969,10,-1.350
1969,11,-0.180
1969,12,0.240
1970,1,-1.260
1970,2,-1.220
1970,3,0.060
1970,4,-0.560
1970,5,0.040
1970,6,1.020
1970,7,-0.520
1970,8,0.310
1970,9,1.180
1970,10,0.740
1970,11,1.850
1970,12,1.830
1971,1,0.230
1971,2,1.440
1971,3,1.980
1971,4,2.580
1971,5,0.880
1971,6,0.210
1971,7,0.170
1971,8,1.420
1971,9,1.510
1971,10,1.750
1971,11,0.550
1971,12,0.150
1972,1,0.330
1972,2,0.670
1972,3,0.130
1972,4,-0.460
1972,5,-1.520
1972,6,-1.680
1972,7,-1.840
1972,8,-1.120
1972,9,-1.480
1972,10,-1.130
1972,11,-0.380
1972,12,-1.470
1973,1,-0.430
1973,2,-1.470
1973,3,-0.060
1973,4,-0.370
1973,5,0.250
1973,6,1.220
1973,7,0.630
1973,8,1.180
1973,9,1.270
1973,10,0.850
1973,11,2.850
1973,12,1.760
1974,1,2.160
1974,2,1.490
1974,3,2.100
1974,4,1.270
1974,5,1.240
1974,6,0.140
1974,7,1.230
1974,8,0.560
1974,9,1.160
1974,10,0.720
1974,11,-0.420
1974,12,-0.140
1975,1,-0.620
1975,2,0.460
1975,3,1.140
1975,4,1.480
1975,5,0.510
1975,6,1.690
1975,7,2.130
1975,8,2.030
1975,9,2.150
1975,10,1.670
1975,11,1.250
1975,12,2.050
1976,1,1.190
1976,2,1.180
1976,3,1.330
1976,4,0.240
1976,5,0.500
1976,6,-0.160
1976,7,-1.240
1976,8,-1.460
1976,9,-1.290
1976,10,0.130
1976,11,0.760
1976,12,-0.480
1977,1,-0.390
1977,2,0.650
1977,3,-1.200
1977,4,-1.170
1977,5,-1.180
1977,6,-2.330
1977,7,-1.450
1977,8,-1.420
1977,9,-0.950
1977,10,-1.390
1977,11,-1.560
1977,12,-1.230
1978,1,-0.480
1978,2,-2.630
1978,3,-0.820
1978,4,-0.880
1978,5,1.500
1978,6,0.400
1978,7,0.530
1978,8,0.120
1978,9,0.060
1978,10,-0.760
1978,11,-0.280
1978,12,-0.210
1979,1,-0.450
1979,2,0.610
1979,3,-0.490
1979,4,-0.650
1979,5,0.460
1979,6,0.580
1979,7,-0.760
1979,8,-0.690
1979,9,0.110
1979,10,-0.370
1979,11,-0.610
1979,12,-0.900
1980,1,0.280
1980,2,-0.020
1980,3,-1.060
1980,4,-1.600
1980,5,-0.350
1980,6,-0.680
1980,7,-0.140
1980,8,-0.060
1980,9,-0.540
1980,10,-0.340
1980,11,-0.470
1980,12,-0.210
1981,1,0.270
1981,2,-0.470
1981,3,-2.010
1981,4,-0.600
1981,5,0.820
1981,6,1.280
1981,7,0.870
1981,8,0.400
1981,9,0.520
1981,10,-0.710
1981,11,0.070
1981,12,0.410
1982,1,0.870
1982,2,-0.030
1982,3,0.050
1982,4,-0.460
1982,5,-0.740
1982,6,-2.490
1982,7,-1.890
1982,8,-2.660
1982,9,-2.120
1982,10,-2.200
1982,11,-3.250
1982,12,-2.480
1983,1,-3.360
1983,2,-3.460
1983,3,-3.250
1983,4,-1.410
1983,5,0.790
1983,6,-0.580
1983,7,-0.700
1983,8,-0.370
1983,9,0.910
1983,10,0.340
1983,11,-0.120
1983,12,-0.170
1984,1,-0.030
1984,2,0.430
1984,3,-0.850
1984,4,0.390
1984,5,-0.030
1984,6,-1.220
1984,7,0.120
1984,8,0.100
1984,9,0.170
1984,10,-0.610
1984,11,0.120
1984,12,-0.240
1985,1,-0.550
1985,2,0.790
1985,3,0.200
1985,4,1.420
1985,5,-0.150
