year,climate_variable_recon,lower,upper,climate_variable_recon_scale,lower_scale,upper_scale
1933,1155.31,1155.31,1155.31,1.05,1.05,1.05
1934,847.08,847.08,847.08,-0.09,-0.09,-0.09
1935,785.24,785.24,785.24,-0.4,-0.4,-0.4
1936,595.61,595.61,595.61,-1.62,-1.62,-1.62
1937,1049.53,1049.53,1049.53,0.71,0.71,0.71
1938,838.6,838.6,838.6,-0.13,-0.13,-0.13
1939,870.84,870.84,870.84,0.02,0.02,0.02
1940,884.99,884.99,884.99,0.08,0.08,0.08
1941,633.65,633.65,633.65,-1.33,-1.33,-1.33
1942,796.38,796.38,796.38,-0.34,-0.34,-0.34
1943,944.89,944.89,944.89,0.33,0.33,0.33
1944,867.3,867.3,867.3,-0,-0,-0
1945,907.84,907.84,907.84,0.18,0.18,0.18
1946,974.82,974.82,974.82,0.44,0.44,0.44
1947,1034.55,1034.55,1034.55,0.66,0.66,0.66
1948,824.81,824.81,824.81,-0.2,-0.2,-0.2
1949,1325.89,1325.89,1325.89,1.5,1.5,1.5
1950,1128.39,1128.39,1128.39,0.97,0.97,0.97
1951,590.96,590.96,590.96,-1.66,-1.66,-1.66
1952,886.24,886.24,886.24,0.08,0.08,0.08
1953,853.85,853.85,853.85,-0.06,-0.06,-0.06
1954,1487.29,1487.29,1487.29,1.85,1.85,1.85
1955,1399.97,1399.97,1399.97,1.67,1.67,1.67
1956,608.06,608.06,608.06,-1.52,-1.52,-1.52
1957,900.63,900.63,900.63,0.15,0.15,0.15
1958,883.17,883.17,883.17,0.07,0.07,0.07
1959,1010.84,1010.84,1010.84,0.58,0.58,0.58
1960,693.16,693.16,693.16,-0.93,-0.93,-0.93
1961,1043.75,1043.75,1043.75,0.69,0.69,0.69
1962,1054.67,1054.67,1054.67,0.73,0.73,0.73
1963,916.67,916.67,916.67,0.21,0.21,0.21
1964,655.7,655.7,655.7,-1.18,-1.18,-1.18
1965,972.15,972.15,972.15,0.43,0.43,0.43
1966,1315.11,1315.11,1315.11,1.47,1.47,1.47
1967,878.5,878.5,878.5,0.05,0.05,0.05
1968,616.6,616.6,616.6,-1.46,-1.46,-1.46
1969,876.24,876.24,876.24,0.04,0.04,0.04
1970,1202.29,1202.29,1202.29,1.18,1.18,1.18
1971,1069.35,1069.35,1069.35,0.78,0.78,0.78
1972,897.63,897.63,897.63,0.13,0.13,0.13
1973,1624.14,1624.14,1624.14,2.11,2.11,2.11
1974,845.18,845.18,845.18,-0.1,-0.1,-0.1
1975,1188.37,1188.37,1188.37,1.14,1.14,1.14
1976,842.79,842.79,842.79,-0.11,-0.11,-0.11
1977,662.95,662.95,662.95,-1.13,-1.13,-1.13
1978,953.97,953.97,953.97,0.36,0.36,0.36
1979,731.42,731.42,731.42,-0.7,-0.7,-0.7
1980,952.04,952.04,952.04,0.36,0.36,0.36
1981,1039.01,1039.01,1039.01,0.68,0.68,0.68
1982,1067.54,1067.54,1067.54,0.77,0.77,0.77
1983,885.6,885.6,885.6,0.08,0.08,0.08
1984,921.94,921.94,921.94,0.24,0.24,0.24
1985,699.11,699.11,699.11,-0.89,-0.89,-0.89
1986,789.44,789.44,789.44,-0.38,-0.38,-0.38
